弱,弱,弱,1,AAA
張,張,张,2,AAB
強,強,強,1,AAA
弾,彈,弹,5,ABC
当,當,当,3,ABA
形,形,形,1,AAA
彩,彩,彩,1,AAA
彫,彫,雕,2,AAB
彰,彰,彰,1,AAA
影,影,影,1,AAA
役,役,役,1,AAA
彼,彼,彼,1,AAA
往,往,往,1,AAA
征,征,征,1,AAA
径,径,径,1,AAA
待,待,待,1,AAA
律,律,律,1,AAA
後,後,后,2,AAB
徐,徐,徐,1,AAA
徒,徒,徒,1,AAA
従,從,从,5,ABC
得,得,得,1,AAA
御,御,御,1,AAA
復,復,复,2,AAB
循,循,循,1,AAA
微,微,微,1,AAA
徳,德,德,4,ABB
徴,徵,征,5,ABC
徹,徹,彻,2,AAB
心,心,心,1,AAA
必,必,必,1,AAA
忌,忌,忌,1,AAA
忍,忍,忍,1,AAA
志,志,志,1,AAA
忘,忘,忘,1,AAA
忙,忙,忙,1,AAA
応,應,应,5,ABC
忠,忠,忠,1,AAA
快,快,快,1,AAA
念,念,念,1,AAA
怒,怒,怒,1,AAA
怖,怖,怖,1,AAA
思,思,思,1,AAA
怠,怠,怠,1,AAA
急,急,急,1,AAA
性,性,性,1,AAA
怪,怪,怪,1,AAA
恋,戀,恋,3,ABA
恐,恐,恐,1,AAA
恒,恆,恒,3,ABA
恥,恥,耻,2,AAB
恨,恨,恨,1,AAA
恩,恩,恩,1,AAA
恭,恭,恭,1,AAA
息,息,息,1,AAA
恵,惠,惠,4,ABB
悔,悔,悔,1,AAA
悟,悟,悟,1,AAA
悠,悠,悠,1,AAA
患,患,患,1,AAA
悦,悦,悦,1,AAA
悩,惱,恼,5,ABC
悪,惡,恶,5,ABC
悲,悲,悲,1,AAA
悼,悼,悼,1,AAA
情,情,情,1,AAA
惑,惑,惑,1,AAA
惜,惜,惜,1,AAA
惨,慘,惨,3,ABA
惰,惰,惰,1,AAA
想,想,想,1,AAA
愁,愁,愁,1,AAA
愉,愉,愉,1,AAA
意,意,意,1,AAA
愚,愚,愚,1,AAA
愛,愛,爱,2,AAB
感,感,感,1,AAA
慈,慈,慈,1,AAA
態,態,态,2,AAB
慌,慌,慌,1,AAA
慎,慎,慎,1,AAA
慕,慕,慕,1,AAA
慢,慢,慢,1,AAA
慣,慣,惯,2,AAB
慨,慨,慨,1,AAA
慮,慮,虑,2,AAB
慰,慰,慰,1,AAA
慶,慶,庆,2,AAB
憂,憂,忧,2,AAB
憎,憎,憎,1,AAA
憤,憤,愤,2,AAB
憩,憩,憩,1,AAA
憲,憲,宪,2,AAB
憶,憶,忆,2,AAB
憾,憾,憾,1,AAA
懇,懇,恳,2,AAB
懐,懷,怀,5,ABC
懲,懲,惩,5,ABC
懸,懸,悬,2,AAB
成,成,成,1,AAA
我,我,我,1,AAA
戒,戒,戒,1,AAA
戦,戰,战,5,ABC
戯,戲,戏,5,ABC
戸,戸,戸,1,AAA
戻,戾,戾,4,ABB
房,房,房,1,AAA
所,所,所,1,AAA
扇,扇,扇,1,AAA
扉,扉,扉,1,AAA
手,手,手,1,AAA
才,才,才,1,AAA
打,打,打,1,AAA
払,拂,拂,4,ABB
扱,扱,扱,1,AAA
扶,扶,扶,1,AAA
批,批,批,1,AAA
承,承,承,1,AAA
技,技,技,1,AAA
抄,抄,抄,1,AAA
把,把,把,1,AAA
抑,抑,抑,1,AAA
投,投,投,1,AAA
抗,抗,抗,1,AAA
折,折,折,1,AAA
抜,拔,拔,4,ABB
択,擇,择,5,ABC
披,披,披,1,AAA
抱,抱,抱,1,AAA
抵,抵,抵,1,AAA
抹,抹,抹,1,AAA
押,押,押,1,AAA
抽,抽,抽,1,AAA
担,擔,担,3,ABA
拍,拍,拍,1,AAA
拐,拐,拐,1,AAA
拒,拒,拒,1,AAA
拓,拓,拓,1,AAA
拘,拘,拘,1,AAA
拙,拙,拙,1,AAA
招,招,招,1,AAA
拝,拜,拜,4,ABB
拠,據,据,5,ABC
拡,擴,扩,5,ABC
括,括,括,1,AAA
拷,拷,拷,1,AAA
拾,拾,拾,1,AAA
持,持,持,1,AAA
指,指,指,1,AAA
挑,挑,挑,1,AAA
挙,擧,举,5,ABC
挟,挾,挟,3,ABA
振,振,振,1,AAA
挿,插,插,4,ABB
捕,捕,捕,1,AAA
捜,搜,搜,4,ABB
捨,捨,舍,5,ABC
据,据,据,1,AAA
掃,掃,扫,2,AAB
