争,爭,争,3,ABA,"{""Reading"":{""On'yomi"":[""ソウ""],""Kun'yomi"":[""あらそ·う"",""いか·でか""]},""Meaning"":""contend, dispute, argue"",""Compounds"":[{""compound"":""戦争"",""reading"":"" せんそう"",""meaning"":""war""},{""compound"":""競争"",""reading"":"" きょうそう"",""meaning"":""competition, contest, rivalry, race""},{""compound"":""論争"",""reading"":"" ろんそう"",""meaning"":""dispute, controversy""},{""compound"":""争う"",""reading"":"" あらそう"",""meaning"":""to compete, to contest, to contend""},{""compound"":""紛争"",""reading"":"" ふんそう"",""meaning"":""dispute, conflict, trouble, strife""}],""Miscellaneous"":[""Number of strokes: 6"",""Taught in grade 4"",""Frequency: 271""]}"
事,事,事,1,AAA,"{""Reading"":{""On'yomi"":[""ジ"",""ズ""],""Kun'yomi"":[""こと"",""つか·う"",""つか·える""],""Nanori"":[""ろ""]},""Meaning"":""matter, thing, fact, business, reason, possibly"",""Compounds"":[{""compound"":""仕事"",""reading"":"" しごと"",""meaning"":""work, job, labor, labour, business, task, assignment, occupation, employment""},{""compound"":""事故"",""reading"":"" じこ"",""meaning"":""accident, incident, trouble""},{""compound"":""事務所"",""reading"":"" じむしょ"",""meaning"":""office""},{""compound"":""食事"",""reading"":"" しょくじ"",""meaning"":""meal, dinner""},{""compound"":""事"",""reading"":"" こと"",""meaning"":""thing, matter""}],""Miscellaneous"":[""Number of strokes: 8"",""Taught in grade 3"",""Frequency: 18""]}"
二,二,二,1,AAA,"{""Reading"":{""On'yomi"":[""ニ"",""ジ""],""Kun'yomi"":[""ふた"",""ふた·つ"",""ふたたび""],""Nanori"":[""おと"",""つぐ"",""つぎ"",""にい"",""は"",""ふ"",""ふたつ"",""ふだ"",""わ""]},""Meaning"":""two, two radical (no. 7)"",""Compounds"":[{""compound"":""二"",""reading"":"" に"",""meaning"":""two""},{""compound"":""二人"",""reading"":"" ふたり"",""meaning"":""two persons, two people, pair, couple""},{""compound"":""二つ"",""reading"":"" ふたつ"",""meaning"":""two""},{""compound"":""二階建て"",""reading"":"" にかいだて"",""meaning"":""two-storied building""},{""compound"":""真っ二つ"",""reading"":"" まっぷたつ"",""meaning"":""in two equal parts""}],""Miscellaneous"":[""Number of strokes: 2"",""Taught in grade 1"",""Frequency: 9""]}"
互,互,互,1,AAA,"{""Reading"":{""On'yomi"":[""ゴ""],""Kun'yomi"":[""たが·い"",""かたみ·に""]},""Meaning"":""mutually, reciprocally, together"",""Compounds"":[{""compound"":""互い"",""reading"":"" たがい"",""meaning"":""each other, one another""},{""compound"":""相互"",""reading"":"" そうご"",""meaning"":""mutual, reciprocal""},{""compound"":""交互"",""reading"":"" こうご"",""meaning"":""alternate, alternating, mutual, reciprocal""}],""Miscellaneous"":[""Number of strokes: 4"",""Taught in grade 8"",""Frequency: 914""]}"
五,五,五,1,AAA,"{""Reading"":{""On'yomi"":[""ゴ""],""Kun'yomi"":[""いつ"",""いつ·つ""],""Nanori"":[""い"",""さ"",""さつ"",""ち"",""ふ"",""み"",""め""]},""Meaning"":""five"",""Compounds"":[{""compound"":""五"",""reading"":"" ご"",""meaning"":""five""},{""compound"":""五つ"",""reading"":"" いつつ"",""meaning"":""five""},{""compound"":""五十音"",""reading"":"" ごじゅうおん"",""meaning"":""the Japanese syllabary""},{""compound"":""四捨五入"",""reading"":"" ししゃごにゅう"",""meaning"":""rounding (fractions), rounding half up""}],""Miscellaneous"":[""Number of strokes: 4"",""Taught in grade 1"",""Frequency: 31""]}"
井,井,井,1,AAA,"{""Reading"":{""On'yomi"":[""セイ"",""ショウ""],""Kun'yomi"":[""い""],""Nanori"":[""いの"",""さい"",""ひ""]},""Meaning"":""well, well crib, town, community"",""Compounds"":[{""compound"":""井戸"",""reading"":"" いど"",""meaning"":""water well""},{""compound"":""天井"",""reading"":"" てんじょう"",""meaning"":""ceiling""}],""Miscellaneous"":[""Number of strokes: 4"",""Taught in grade 4"",""Frequency: 339""]}"
亜,亞,亚,5,ABC,"{""Reading"":{""On'yomi"":[""ア""],""Kun'yomi"":[""つ·ぐ""],""Nanori"":[""や"",""つぎ"",""つぐ""]},""Meaning"":""Asia, rank next, come after, -ous"",""Compounds"":[{""compound"":""亜細亜"",""reading"":"" アジア"",""meaning"":""Asia""}],""Miscellaneous"":[""Number of strokes: 7"",""Taught in grade 8"",""Frequency: 1509""]}"
亡,亡,亡,1,AAA,"{""Reading"":{""On'yomi"":[""ボウ"",""モウ""],""Kun'yomi"":[""な·い"",""な·き〜"",""ほろ·びる"",""ほろ·ぶ"",""ほろ·ぼす""]},""Meaning"":""deceased, the late, dying, perish"",""Compounds"":[{""compound"":""死亡"",""reading"":"" しぼう"",""meaning"":""death, mortality""},{""compound"":""逃亡"",""reading"":"" とうぼう"",""meaning"":""escape, flight, running away, elopement, fleeing""},{""compound"":""滅亡"",""reading"":"" めつぼう"",""meaning"":""downfall, ruin, collapse, destruction""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 6"",""Frequency: 661""]}"
交,交,交,1,AAA,"{""Reading"":{""On'yomi"":[""コウ""],""Kun'yomi"":[""まじ·わる"",""まじ·える"",""ま·じる"",""まじ·る"",""ま·ざる"",""ま·ぜる"",""〜か·う"",""か·わす"",""かわ·す"",""こもごも""],""Nanori"":[""かた""]},""Meaning"":""mingle, mixing, association, coming, &, going"",""Compounds"":[{""compound"":""交差点"",""reading"":"" こうさてん"",""meaning"":""crossing, intersection""},{""compound"":""交番"",""reading"":"" こうばん"",""meaning"":""police box, small neighborhood police station""},{""compound"":""交通"",""reading"":"" こうつう"",""meaning"":""traffic, transportation, communication, exchange (of ideas, etc.), intercourse""},{""compound"":""外交"",""reading"":"" がいこう"",""meaning"":""diplomacy""},{""compound"":""交換"",""reading"":"" こうかん"",""meaning"":""exchange, interchange, switching, reciprocity, barter, substitution, replacement, clearing (of checks, cheques)""}],""Miscellaneous"":[""Number of strokes: 6"",""Taught in grade 2"",""Frequency: 178""]}"
享,享,享,1,AAA,"{""Reading"":{""On'yomi"":[""キョウ"",""コウ""],""Kun'yomi"":[""う·ける""],""Nanori"":[""たか"",""たかし"",""とおる"",""みち""]},""Meaning"":""enjoy, receive, undergo, answer (phone), take, get, catch"",""Compounds"":[{""compound"":""享受"",""reading"":"" きょうじゅ"",""meaning"":""reception, acceptance, enjoyment, being given""}],""Miscellaneous"":[""Number of strokes: 8"",""Taught in grade 8"",""Frequency: 1893""]}"
